,corr,exp,surid
285,0.1538418943793781,Brainsmash,142
286,0.24499239866648556,Breakspear,143
287,0.04319403544607841,Brainsmash,143
288,-0.11716298024150883,Breakspear,144
289,0.11502713623750795,Brainsmash,144
290,-0.04664875617368215,Breakspear,145
291,-0.12682165202912588,Brainsmash,145
292,-0.17245043151449818,Breakspear,146
293,0.023459458915988565,Brainsmash,146
294,-0.15809111372402468,Breakspear,147
295,0.08839227472956385,Brainsmash,147
296,-0.1784925266236365,Breakspear,148
297,0.03141447049442462,Brainsmash,148
298,0.0531384647469088,Breakspear,149
299,-0.04175904768358081,Brainsmash,149
300,0.12800067466867518,Breakspear,150
301,-0.02150778553966746,Brainsmash,150
302,-0.08512139510395379,Breakspear,151
303,0.059685374227909684,Brainsmash,151
304,-0.14642517586986145,Breakspear,152
305,0.04287165906669259,Brainsmash,152
306,0.3417084081184627,Breakspear,153
307,-0.022060269966580646,Brainsmash,153
308,0.23177241537816068,Breakspear,154
309,-0.0927537097577599,Brainsmash,154
310,-0.13190868194417188,Breakspear,155
311,-0.026440739775669547,Brainsmash,155
312,-0.014024395160829187,Breakspear,156
313,-0.040257971242648995,Brainsmash,156
314,-0.0275934977970564,Breakspear,157
315,0.06934285409390134,Brainsmash,157
316,-0.11862199904573224,Breakspear,158
317,0.13763007931567947,Brainsmash,158
318,-0.14291353184774533,Breakspear,159
319,0.02301552701392622,Brainsmash,159
320,0.06074294773996349,Breakspear,160
321,-0.0018348340901144533,Brainsmash,160
322,-0.13166319454604516,Breakspear,161
323,0.024728098352625537,Brainsmash,161
324,0.2884114908395899,Breakspear,162
325,-0.04749510253299306,Brainsmash,162
326,-0.13857054578471634,Breakspear,163
327,0.036179003662223264,Brainsmash,163
328,-0.04598334764377542,Breakspear,164
329,-0.013177749107496443,Brainsmash,164
330,-0.16118506832814475,Breakspear,165
331,0.09013164286653895,Brainsmash,165
332,0.19381473174421296,Breakspear,166
333,0.10993774198888005,Brainsmash,166
334,-0.09011134845531447,Breakspear,167
335,-0.11489456022786074,Brainsmash,167
336,-0.15246771718573407,Breakspear,168
337,-0.033127783552632635,Brainsmash,168
338,-0.1498397166350587,Breakspear,169
339,0.04086816083241181,Brainsmash,169
340,0.10471864975033826,Breakspear,170
341,-0.024753394127570702,Brainsmash,170
342,-0.04339789271312895,Breakspear,171
343,-0.0966011735106616,Brainsmash,171
344,-0.03147814024111156,Breakspear,172
345,0.04624850990856136,Brainsmash,172
346,0.44279253357902004,Breakspear,173
347,-0.0006941909039220311,Brainsmash,173
348,-0.1626157481374427,Breakspear,174
349,-0.017842261178968397,Brainsmash,174
350,0.16672373687862693,Breakspear,175
351,0.06674823711968508,Brainsmash,175
352,-0.1551750895880885,Breakspear,176
353,-0.06258237271401595,Brainsmash,176
354,0.06112791258913214,Breakspear,177
355,0.04317171515439449,Brainsmash,177
356,-0.1137145433250003,Breakspear,178
357,0.08224194932279633,Brainsmash,178
358,-0.14371860063997277,Breakspear,179
359,0.03046426763849961,Brainsmash,179
360,-0.07425157424527332,Breakspear,180
361,-0.029396672449728697,Brainsmash,180
362,-0.14527390532090065,Breakspear,181
363,0.01471125343443103,Brainsmash,181
364,0.16102414596818965,Breakspear,182
365,-0.09922341862851497,Brainsmash,182
366,-0.16469504283977324,Breakspear,183
367,-0.10016674417538778,Brainsmash,183
368,-0.012546537460951662,Breakspear,184
369,-0.016954744242374177,Brainsmash,184
370,-0.15254570867449987,Breakspear,185
371,-0.09216837343379129,Brainsmash,185
372,0.03247954325474466,Breakspear,186
373,-0.026381785683512772,Brainsmash,186
374,-0.08139032534173854,Breakspear,187
375,-0.10253129200693838,Brainsmash,187
376,0.25979866218198755,Breakspear,188
377,0.011882284916518828,Brainsmash,188
378,-0.06768626011171017,Breakspear,189
