,EMOTION-FACES-SHAPES,GAMBLING-REWARD,LANGUAGE-STORY-MATH,MOTOR-AVG,RELATIONAL-REL,SOCIAL-TOM,WM-2BK
TGC 57,-0.03627628363226697,-0.12662553720469377,0.06857954286837373,0.05069084458249023,-0.10712003459356804,-0.02789802386053878,0.0834484254255992
TGC 58,0.06522478935324644,0.1980900220483053,0.22944598522059942,0.019589144848789895,0.09394067655527283,0.02001644281768664,0.11602490657319894
TGC 59,-0.010425647634680872,-0.22435002438066248,-0.1287507921545685,-0.06915659851273202,-0.22159808629466837,-0.14347202424518718,-0.13496861152958206
TGC 60,0.0004043064757775919,0.05411940489845087,-0.27021114160466203,0.0005668524025628319,-0.15774880699199292,-0.13359271934651185,-0.06608233567217676
TGC 61,-0.04804060868668145,0.15454779544067845,-0.1557897493599064,-0.06322396812502697,-0.017714757874022817,-0.12060239944783127,0.11572320311955393
TGC 62,-0.05022794692447248,-0.007956702528904031,-0.049712573500570935,-0.06786472835571782,-0.13561997815058222,0.04215517997480827,0.06610080054890835
TGC 63,0.0694650984589446,0.07039203510382375,0.02160025050013066,0.054772847877649924,0.15520621753605415,-0.01893069263534425,-0.028783031851959386
TGC 64,-0.03202893256530241,0.020063508754928887,-0.0025715941917506505,0.057157245823509575,0.06207520060664101,0.019851009597898515,0.17933732913729425
TGC 65,0.03181597254045014,-0.11900956953549786,-0.24139590218493934,-0.08076219947578171,-0.07524487836684009,-0.1858020691836779,-0.09343526568470589
TGC 66,-0.022255291124439837,-0.2006692425866977,-0.16171620728276717,-0.06152170311627765,-0.20287392294766277,-0.20340484888008065,-0.13668132495955876
TGC 67,0.09598457449200586,0.08859942615955363,0.015278347960683641,-0.05080521755422734,0.09389537900216813,-0.019998262836721688,-0.039186059349226414
TGC 68,0.024975051800761514,0.24096979201549,-0.03741099942186555,-0.0850116999794519,0.11192755240883179,0.051435137346684805,0.06890324229202162
TGC 69,0.01414411037245933,0.1103966101456051,-0.024932361675514596,-0.06390319816133425,0.10250472000131257,0.0092147969748402,0.05440519041213358
TGC 70,-0.058642898742066615,-0.16609579083512538,-0.2634644951463034,-0.06989699194966272,-0.2393084868728678,-0.24562349903833772,-0.04626561527372981
TGC 71,-0.08589168612654788,0.0807442192443538,-0.061615701968452494,-0.053885396190330455,-0.012076251098991627,-0.03891092392772029,0.0107094414800262
TGC 72,-0.015172738453576006,-0.11634628751735393,-0.23540213302450186,0.01856081736691229,-0.13505849615123447,-0.15772078004136983,-0.05138574684541458
TGC 73,0.0053712194077174605,-0.04273700501597013,0.2381205772011557,0.12169164564053848,0.22810412495440432,0.19409822272228094,0.05584838838224827
TGC 74,0.010915036704890775,0.05385392519224639,0.059579980200353516,0.05051443889277293,0.06077580850429441,0.024528397012607214,0.035532309907303314
TGC 75,-0.02013941447834922,0.17226880954695392,-0.050940809229835494,0.04117824561564637,0.1179201360128188,0.19394294152697275,0.05044089356820989
TGC 76,0.06427452738656192,0.002893028705641235,-0.004504795133421745,-0.010146733607246303,-0.00034767909635137527,0.03745926909760205,0.06014920254074847
TGC 77,-0.003389423905972384,-0.21637573029852472,-0.0069435646795760544,-0.013055798753313167,-0.038759717179072506,-0.22725509661219756,-0.112684923786543
TGC 78,0.11928375831260978,-0.005747063965462715,0.041938348713966185,-0.008520479830055263,-0.014672661654990177,-0.0222232354928311,-0.012666157239900163
TGC 79,-0.17186271098308725,-0.11973135386232005,-0.21645151725045428,-0.08205765989493492,-0.19162852031529565,-0.08612323693920992,-0.21188484977023
TGC 80,-0.05397869525857497,-0.08759167448633734,-0.10756335925618374,0.011728456502385645,-0.08374643077355982,0.08286885672761089,0.04682499255214853
TGC 81,-0.04672830402143761,-0.05390454502117096,-0.09909481062633782,0.0475975368791417,-0.17128334909526263,-0.1276972412561586,-0.012063085494179017
TGC 82,0.10768277107017131,0.19629245480524002,0.08943834135922048,0.11312405859412857,0.19023837289076842,0.016863359381221233,0.16930846393097398
TGC 83,-0.040975695203545735,-0.04407848443647906,0.04218448192736405,-0.007471907940121825,-0.0320825847279012,-0.07066731957698898,-0.11416199586486578
TGC 84,-0.046852935604357424,0.013241024798648566,0.232684149496693,0.030337141632099773,-0.10949048004599035,0.021796389378276135,0.04106547655473627
TGC 85,0.01685588651619918,-0.002008974884192491,0.06899747345052525,-0.05867771381572341,-0.20612534047928804,-0.02988391668635451,-0.1022105023788419
TGC 86,-0.03402803144720732,0.08715143501704471,-0.03712079716993589,-0.01672351730967545,0.04427948795120827,-0.006947321360090785,0.04593871171176341
TGC 87,0.00977548844419154,0.042399483270440956,0.11173341545565386,0.05381930022312118,0.04812774477478967,0.06515881077974614,0.010652151138583279
