interview_age,SmoothedValue,UpperCI,LowerCI,ModeName,Derivative,Curvature
8.994510978,44.57238825,45.17457525,43.97020125,Mode4,-0.100490559,-0.049317116
9.077345309,44.56407729,45.1560132,43.97214138,Mode4,-0.100165916,0.021296257
9.160179641,44.55579529,45.13767552,43.97391506,Mode4,-0.099790837,0.021296257
9.243013972,44.54754654,45.11957679,43.9755163,Mode4,-0.099362545,-0.002241534
9.325848303,44.53933556,45.10173205,43.97693908,Mode4,-0.098878474,0.068371839
9.408682635,44.53116708,45.08415672,43.97817743,Mode4,-0.098336245,-0.009340286
9.491516966,44.52304599,45.06686656,43.97922543,Mode4,-0.097733685,-0.056415868
9.574351297,44.51497739,45.04987755,43.98007723,Mode4,-0.09706882,0.007098752
9.657185629,44.5069665,45.03320582,43.98072718,Mode4,-0.096339831,0.030636543
9.74001996,44.49901871,45.01686763,43.9811698,Mode4,-0.095545092,0.007098752
9.822854291,44.49113953,45.00087916,43.9813999,Mode4,-0.094683133,-0.087052411
9.905688623,44.48333457,44.98525652,43.98141262,Mode4,-0.09375268,-0.049317116
9.988522954,44.47560957,44.97001559,43.98120354,Mode4,-0.092752578,0.021296257
10.07135729,44.46797033,44.95517193,43.98076872,Mode4,-0.091681842,0.021296257
10.15419162,44.46042273,44.94074067,43.9801048,Mode4,-0.090539626,0.021296257
10.23702595,44.45297274,44.92673636,43.97920912,Mode4,-0.089325233,0.021296257
10.31986028,44.44562635,44.91317291,43.97807979,Mode4,-0.088038098,-0.025779325
10.40269461,44.43838961,44.90006344,43.97671577,Mode4,-0.086677784,-0.009340286
10.48552894,44.43126858,44.88742017,43.975117,Mode4,-0.085243985,0.014197505
10.56836327,44.42426938,44.87525431,43.97328446,Mode4,-0.083736502,-0.012889662
10.6511976,44.41739811,44.86357595,43.97122027,Mode4,-0.082155269,-0.029328701
10.73403194,44.41066086,44.85239397,43.96892776,Mode4,-0.080500324,0.041284672
10.81686627,44.40406376,44.84171597,43.96641155,Mode4,-0.078771796,-0.032878077
10.8997006,44.39761287,44.83154817,43.96367757,Mode4,-0.076969948,0.014197505
10.98253493,44.39131426,44.82189538,43.96073315,Mode4,-0.075095106,-0.032878077
11.06536926,44.38517397,44.81276095,43.95758699,Mode4,-0.073147716,-0.036427453
11.14820359,44.37919797,44.80414675,43.95424918,Mode4,-0.071128299,-0.076404283
11.23103792,44.37339221,44.79605319,43.95073123,Mode4,-0.069037472,0.017746881
11.31387226,44.36776258,44.78847921,43.94704594,Mode4,-0.066875921,0.037735296
